City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
283,Saldanha,ZA,82.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
288,Vallenar,CL,88.99,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
293,Ancud,CL,77.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
294,Axim,GH,81.1,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
297,Xuddur,SO,80.02,overcast clouds,4.1213,43.8894,Banjanay Hotel
303,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
305,Ambilobe,MG,76.93,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
317,Wenchi,GH,82.74,few clouds,7.7392,-2.1046,Ebenezer Hotel
321,Saint-Joseph,RE,76.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
325,Santa Rosa,PH,77.86,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
327,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
332,Vanimo,PG,76.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
334,Ciudad Bolivar,VE,86.5,overcast clouds,8.1222,-63.5497,Hotel Edi
335,Bachaquero,VE,85.69,broken clouds,9.9694,-71.1494,casa de los dinosaurios
336,Mercedes,AR,88.03,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
338,San Martin,AR,86.54,clear sky,-33.081,-68.4681,Club El Pelícano
339,Areia Branca,BR,89.8,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
345,Isla Mujeres,MX,82.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
353,Tamiahua,MX,79.95,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
357,Buala,SB,77.72,light rain,-8.145,159.5921,Maringe Lagoon Lodge
358,Vila Velha,BR,80.55,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
359,Santa Cruz Cabralia,BR,84.43,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
362,Tobane,BW,75.13,overcast clouds,-21.95,27.9,Mediterranean Deep Hotels
366,Zaria,NG,76.98,scattered clouds,11.1113,7.7227,A.B.U Hotels
376,Kalmunai,LK,77.43,broken clouds,7.4167,81.8167,VS Villa
378,San-Pedro,CI,80.31,scattered clouds,4.7485,-6.6363,Hotel Maria
392,Beruwala,LK,78.1,overcast clouds,6.4788,79.9828,The Palms Hotel
393,Maningrida,AU,79.27,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
395,Olinda,BR,85.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
396,Port Blair,IN,78.85,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
399,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
400,Kieta,PG,77.31,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
409,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
416,Biak,ID,76.77,overcast clouds,-0.9131,122.8766,Penginapan Kim
417,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
419,Canelones,UY,82.42,broken clouds,-34.6444,-56.2886,Chacra Los Cardenales
423,Auki,SB,77.43,overcast clouds,-8.7676,160.7034,Auki Motel
428,Carlagan,PH,75.6,scattered clouds,14.975,122.0456,Cabatagan Island
432,Hervey Bay,AU,79.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
434,Necochea,AR,88.59,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
438,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
440,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
445,Carutapera,BR,80.73,overcast clouds,-1.195,-46.02,Lidera
447,Ixtapa,MX,85.6,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
448,Coihaique,CL,75.81,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
449,Cap Malheureux,MU,78.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
456,Sao Miguel Do Araguaia,BR,79.39,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
457,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
458,Owando,CG,82.36,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
459,Dhidhdhoo,MV,81.34,clear sky,6.8833,73.1,Dhidhoo beach
